Year,Passenger Fatalities (US),Passenger Serious Injuries (US),Total Passenger Enplanements (millions) (US),Passenger Fatalities (Worldwide),Passenger Serious Injuries (Worldwide),Total Passenger Enplanements (millions) (Worldwide)
1985-1999,118.236,22.177,500.471,112.411,2.179,1958.621
2000-2014,47.067,5.8,715.4,55.578,0.661,2695.875
